id,name,code,cost,study_type,url,paid_places,foreigners_places,budget_places
1,Дизайн и разработка информационных продуктов,09.03.04,950.0,Бакалавр,https://www.hse.ru/ba/drip/,90.0,,
2,Компьютерные науки и анализ данных,01.03.02,640.0,Бакалавр,https://www.hse.ru/ba/compds/,150.0,10.0,
3,Прикладная математика и информатика,01.03.04,700.0,Бакалавр,https://www.hse.ru/ba/ami/,220.0,29.0,195.0
4,Прикладной анализ данных,01.03.02,,Бакалавр,https://www.hse.ru/ba/data/,220.0,10.0,
5,Программная инженерия,09.03.04,980.0,Бакалавр,https://www.hse.ru/ba/se/,125.0,24.0,160.0
6,Проектирование интеллектуальных робототехнических систем,09.03.04,950.0,Бакалавр,https://www.hse.ru/ba/dirs/,35.0,,25.0
7,Разработка игр и цифровых продуктов,54.03.01,900.0,Бакалавр,https://digital.hse.ru,,,
8,Экономика и анализ данных,01.03.02,,Бакалавр,https://www.hse.ru/ba/eda,110.0,9.0,60.0
9,Анализ данных в биологии и медицине,01.04.02,470.0,Магистр,https://www.hse.ru/ma/adbm,,,25.0
10,Анализ данных в девелопменте,01.04.02,450.0,Магистр,https://www.hse.ru/ma/development/,,,20.0
11,Аналитика больших данных (полностью онлайн),01.04.02,490.0,Магистр,https://www.hse.ru/ma/bigdata-analytics/,,,
12,Инженерия данных (полностью онлайн),09.04.04,470.0,Магистр,https://www.hse.ru/ma/data-engineering/,,,
13,Искусственный интеллект,01.04.02,520.0,Магистр,https://www.hse.ru/ma/mlds/,,,
14,Искусственный интеллект в маркетинге и управлении продуктом (полностью онлайн),01.04.02,490.0,Магистр,https://www.hse.ru/ma/ai-productmanagement/,,,
15,Искусственный интеллект и продуктовый подход в HR-менеджменте (ранее - Продуктовый подход и аналитика данных в HR-менеджменте),01.04.02,490.0,Магистр,https://www.hse.ru/ma/ppadhr/,,,
16,Исследования и предпринимательство в искусственном интеллекте,01.04.02,500.0,Магистр,https://www.hse.ru/ma/ipii/,,,
17,Математика машинного обучения,01.04.02,490.0,Магистр,https://www.hse.ru/ma/sltheory/,,,20.0
18,Машинное обучение в цифровом продукте,01.04.02,600.0,Магистр,https://www.hse.ru/ma/mldg,,,
19,Науки о данных (Data Science),01.04.02,490.0,Магистр,https://www.hse.ru/ma/datasci/,,20.0,36.0
20,Прикладные нейросетевые технологии (полностью онлайн),01.04.02,490.0,Магистр,https://www.hse.ru/ma/mds/,,,
21,Системная и программная инженерия,09.04.04,490.0,Магистр,https://www.hse.ru/ma/se/,,,25.0
22,Системное программирование,09.04.04,490.0,Магистр,https://www.hse.ru/ma/sp/,,,20.0
23,Современные компьютерные науки,01.04.02,490.0,Магистр,https://www.hse.ru/ma/mcs,,,38.0
24,Умные устройства: аппаратная разработка,01.04.02,,Магистр,https://www.hse.ru/ma/sdhd/,,,15.0
25,Финансовые технологии,,,Магистр,https://www.hse.ru/ma/alfafintech/,,,
26,Финансовые технологии и анализ данных,01.04.02,490.0,Магистр,https://www.hse.ru/ma/fintech,,,
